subplot_id,year,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl,fhd,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90,
D02W,2018,7.996699502,3.931551345,7.274315414,15.45709598,8.889199711,40,20.306,13.250425,15.6985,6.836101776,1.907815111,8,8,7.725,5.411230013,6.5,6.17560505,3.150099252,1.286680379,3.223274883,0,0,0.676190476,365.2386137,14.28780471,12.69240916,5.598183304,5.168176292,4.165930959,3.759,4.46787641,95.53212359,20.306,509.875,6.35,0.932536063,17.05486399,2.823094083,1.598822191,75.58940397,76,18.81973059,138,6,-0.320324359,3.004134718,1.438,2.007,3.758,6.87725,10.845,
D01E,2018,10.03839153,2.483367464,9.789761479,6.167113964,10.33354928,40,17.792,13.0094,13.1415,6.878982733,2.144619675,8,8,10.275,4.04454365,10,5.606068903,3.140706077,1.346139024,3.015049198,0,0,0.673684211,139.6174106,8.629063178,8.071968733,2.937512324,7.065224595,3.371505915,6.003,6.123762376,93.87623762,17.792,505.125,3.575,0.901537298,14.08703619,2.650378033,1.625193642,87.97379107,91,18.7794026,141,7,-0.7887417,3.937861527,3.149,4.609,6.003,9.33025,12.9076,
D01E,2018,8.607628751,3.695981191,9.092644708,13.66027697,9.349333813,40,17.963,11.5294,12.1115,5.343271636,2.871273133,6.327979665,8,8.35,4.560420583,8.5,7.919718053,2.801393717,1.697325882,2.605617617,0,0,0.696052632,78.39937164,6.446592309,6.069663849,3.918049795,6.725402463,3.896011211,6.297,17.23894969,82.76105031,17.963,532.35,4.25,0.936421719,15.03550296,2.742775858,1.369070907,78.81627788,82,19.31861522,134,6,-0.62424362,3.187418796,1.9273,3.07575,6.294,9.731,12.087,
D01W,2018,7.737807774,3.933433374,7.029935794,15.4718981,8.657873284,40,20.214,11.445225,11.395,6.484335887,2.492692593,8,8,7.95,4.992044954,7,6.546866294,3.226340613,1.521453782,3.554828556,0,0,0.703571429,130.0941309,7.122201978,8.908892739,4.779499622,5.458380018,4.003218537,3.869,12.22901884,87.77098116,20.214,511,4.475,0.883897471,14.64705882,2.690502712,1.454141174,80.26895629,81,17.039256,130,6,-0.539104188,3.558251878,1.983,2.73,3.868,6.705,11.68,
D01W,2018,8.695934785,5.575469091,8.698108891,31.08585558,10.29213248,40,19.139,11.9768,15.669,4.639582802,3.15763102,5.068036392,8,8.75,6.612924408,9.5,5.064202377,2.214794272,1.62810434,2.193018617,6,0.15,0.725,217.924477,10.05639617,10.80709827,6.959191145,8.384572594,5.577129241,6.861,37.4617425,62.5382575,19.139,612.75,4.625,0.958469694,16.68965517,2.824950146,1.45413067,77.83745514,80,20.48905792,136,2,-0.633028694,3.19463026,1.9559,2.988,6.857,13.635,16.503,
D03E,2018,9.601294199,4.346631172,9.210622015,18.89320255,10.51692554,40,22.018,13.7273,14.975,6.005674662,2.637540826,8,8,9.075,5.085865279,8.5,5.508009643,2.826583872,1.560031317,2.425968519,1,0.025,0.72173913,290.0728547,11.0915676,12.92478173,5.591315176,7.720062037,5.004148903,6.744,12.21570244,87.78429756,22.018,515.65,4.4,0.957443599,19.08444962,2.929495424,2.012157339,84.90437521,88,20.96359908,138,5,-0.701347038,3.399142817,2.301,3.8085,6.744,11.2735,15.598,
D03E,2018,10.78503889,4.533463749,10.55242425,20.55229356,11.67713792,40,20.635,12.804125,13.085,5.810705239,3.308833958,8,8,11.35,5.36154398,11,8,2.89807273,2.011153102,3.158661944,1,0.025,0.746590909,140.1204268,7.075615587,9.48978877,5.706160882,7.638629646,4.016869389,6.9985,27.90802933,72.09197067,20.635,552.475,4.725,0.937306182,16.6151019,2.697708208,1.801618499,84.7747991,87,18.48261772,135,4,-0.712069827,3.843780541,3.7002,4.358,6.995,8.971,13.5662,
D03W,2018,9.602268871,3.779097642,9.549936881,14.28157899,10.30184969,40,19.284,12.435975,13.0925,6.611718715,2.28805626,8,8,9.85,4.655022102,9.5,6.496325322,2.94041954,1.476056177,2.984822971,0,0,0.70125,146.5352087,8.339361127,8.774409651,4.888829992,6.675818364,4.283881162,5.725,6.719766094,93.28023391,19.284,496.05,4.075,0.940876085,16.00476324,2.705638146,1.83397499,82.83219844,85,18.74425885,150,5,-0.699149531,3.615496082,2.296,3.02,5.724,9.031,14.459,
D03W,2018,9.056641473,4.373495918,9.432537817,19.12746654,10.03354547,40,20.096,13.351725,16.382,6.828782973,1.967699011,8,8,8.45,5.262104483,7.5,8,3.345321232,1.726512048,2.851757419,0,0,0.676190476,284.1504464,11.13080235,12.65921346,5.693065701,6.313859701,4.589019386,3.816,4.599435413,95.40056459,20.096,513.775,5.275,0.927753256,16.52166146,2.695716451,1.502246801,86.95189021,88,19.78935711,137,6,-0.607350594,3.396398006,1.865,2.422,3.812,9.388,12.868,
D01W,2018,8.855064904,5.116222746,7.244261891,26.17573518,10.19477887,40,24.555,15.311025,17.8045,6.937939051,2.008228306,8,8,7.925,6.37457892,7,6.469133996,3.575045331,1.57337994,3.204591082,0,0,0.733653846,1014.215304,21.80503254,23.211115,7.238275299,5.595665097,5.554999824,3.181,5.399589651,94.60041035,24.555,499.7,5.5,0.861011918,16.86722357,2.658442908,1.506608141,76.96625053,78,20.39416441,133,1,-0.373053845,2.700986332,1.5918,2.025,3.181,6.525,15.6354,
