plot,subplot,date,width_end1_cm,width_mid_cm,width_end2_cm,length_m,decay_class,tag_number,initials
B02,E,7/11/2019,11.5,15,9,4.52,3,na,AB
B02,E,7/11/2019,9.3,31.2,42.1,17.42,3,na,AB
B02,E,7/11/2019,22,32.3,13.3,11.6,3,na,AB
B02,E,7/11/2019,6.7,10.2,11.3,6.5,2,na,AB
B02,E,7/11/2019,5,8.5,8.8,0.95,4,na,AB
B02,E,7/11/2019,11.6,12.7,9,1.58,4,na,AB
B02,E,7/11/2019,10.3,10.3,5,4.79,3,na,AB
B02,E,7/11/2019,5.3,14.5,16,3.1,4,na,AB
B02,E,7/11/2019,17.5,22,21,2.3,4,na,AB
B02,E,7/11/2019,8.4,10.3,3.5,11.24,2,na,AB
B02,E,7/11/2019,14.7,23.9,10.9,5.84,4,na,AB
B02,E,7/11/2019,2.3,8.2,10.4,13.43,3,na,AB
B02,E,7/11/2019,9.4,8.7,7.52,6.2,2,na,AB
B02,E,7/11/2019,5,8,8.5,2.64,3,na,AB
B02,E,7/11/2019,15,14,17.9,3.95,4,na,AB
B02,E,7/11/2019,11.1,10.5,12,2.44,4,na,AB
B02,W,7/12/2019,9.9,8.1,4.2,8.24,3,na,LH
B02,W,7/12/2019,17.3,21.1,27.4,13.3,4,na,LH
B02,W,7/12/2019,17.6,23.2,25,3.15,3,na,LH
B02,W,7/12/2019,20.6,19.6,20.8,1.23,3,na,LH
B02,W,7/12/2019,30.1,24.4,20.3,8.14,5,na,LH
B02,W,7/12/2019,17.6,18.3,20.9,4.64,3,na,LH
B02,W,7/12/2019,14,12.1,8.9,3.59,3,na,LH
B02,W,7/12/2019,23.1,18,20.3,6.68,4,na,LH
B02,W,7/12/2019,13.6,11.5,9.3,4.22,4,na,LH
B02,W,7/12/2019,19.6,18,15.3,2.47,4,na,LH
B02,W,7/12/2019,20.4,16.9,16,1.33,3,na,LH
B02,W,7/12/2019,19.7,19,17.8,3.59,4,na,LH
B02,W,7/12/2019,20.1,23.2,24,7.38,4,na,LH
B02,W,7/12/2019,16.3,17.1,21.8,3.16,5,na,LH
B02,W,7/12/2019,9.9,18.7,24.5,3.72,5,na,LH
B02,W,7/12/2019,21.6,17.4,20.1,4.08,4,na,LH
B02,W,7/12/2019,27.3,18.4,13.1,16.42,2,na,LH
B02,W,7/12/2019,23.9,25.5,28,3.73,5,na,LH
B02,W,7/12/2019,20,25.9,30.7,11.07,3,1805,LH
B02,W,7/12/2019,25.4,21.1,19.1,1.88,4,na,LH
B02,W,7/12/2019,17.9,18.8,17.4,3.74,3,na,LH
B02,W,7/12/2019,17.1,14.1,13.3,10.17,3,na,LH
B01,E,7/12/2019,39.2,33,27.9,4.89,3,na,AB
B01,E,7/12/2019,24.8,29.3,31,3.22,3,na,AB
B01,E,7/12/2019,10.8,27,23,11.32,3,1705,AB
B01,E,7/12/2019,4.1,11,12.8,2.7,2,na,AB
B01,E,7/12/2019,2,8.8,4.5,10.4,2,na,AB
B01,E,7/12/2019,2.7,13,18.6,12.33,3,na,AB
B01,E,7/12/2019,11.6,16.4,19,7.75,4,na,AB
B01,E,7/12/2019,21.4,18.4,16.9,6.37,3,na,AB
B01,E,7/12/2019,10,10,6.7,4.07,3,na,AB
B01,E,7/12/2019,2,9.1,9.5,6.1,3,na,AB
B01,E,7/12/2019,12.5,9.5,3.4,6.55,2,na,AB
B01,E,7/12/2019,4,11,15,11.22,2,na,AB
B01,E,7/12/2019,8,14,14.9,3.26,5,na,AB
B01,E,7/12/2019,12.4,11.5,9.9,1.83,3,na,AB
B01,E,7/12/2019,13,11.7,8,10.1,4,na,AB
B01,E,7/12/2019,12.7,9.7,5,4.45,4,na,AB
B01,E,7/12/2019,28,64,35,3.43,5,na,AB
B01,E,7/12/2019,4.3,10.5,8.4,1.35,3,na,AB
B01,W,7/12/2019,13.6,11.1,4,16.53,2,na,AS
B01,W,7/12/2019,16.5,12.2,7,13.13,3,na,AS
B01,W,7/12/2019,10.9,10.4,2.7,13.06,3,na,AS
B01,W,7/12/2019,16.5,17.1,12.6,5.36,4,na,AS
B01,W,7/12/2019,14,13.6,12,2.41,4,na,AS
B01,W,7/12/2019,21.2,17.4,8.7,20.07,3,na,AS
B01,W,7/12/2019,9.6,11.9,13.5,7.62,2,na,AS
B01,W,7/12/2019,19.1,20.2,15.2,5.56,5,na,AS
B01,W,7/12/2019,18.2,14.7,4.2,19.49,2,na,AS
B01,W,7/12/2019,9.7,8,4.5,11.55,2,na,AS
