species,tag,site,dbh_cm,health_status,canopy_status,date,notes,subplot_id,group,plot_id,latitude,longitude,component,a,b,se,source,ref,leaf_mass,genus,sla,leaf_area,fate,plot_side
FAGR,2292,UMBS,21,L,OS,7/6/2018,,B04E,B,B04,45.5562064,-84.7240377,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,3.334034099,Fagus,35,116.6911935,live,E
ACRU,2296,UMBS,20.7,L,OS,7/6/2018,2295 - 2297 share base,B04E,B,B04,45.5562213,-84.7240947,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.965547569,Acer,19,75.3454038,live,E
ACRU,2281,UMBS,20.5,L,OS,7/6/2018,2280 & 2281 share base,B04E,B,B04,45.5562411,-84.7240282,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.906697439,Acer,19,74.22725134,live,E
ACRU,2297,UMBS,19.7,L,OS,7/6/2018,2295 - 2297 share base,B04E,B,B04,45.5562192,-84.7240954,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.67440328,Acer,19,69.81366232,live,E
ACRU,2249,UMBS,19.6,L,OS,7/6/2018,2249 - 2251 share base,B04E,B,B04,45.5562863,-84.7240692,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.645718917,Acer,19,69.26865942,live,E
ACRU,2285,UMBS,19.5,L,OD,7/6/2018,2285 - 2289 share base,B04E,B,B04,45.5562159,-84.7239062,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.617113473,Acer,19,68.72515599,live,E
ACRU,2286,UMBS,18.5,L,OD,7/6/2018,2285 - 2289 share base,B04E,B,B04,45.5562379,-84.7239063,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.335441235,Acer,19,63.37338347,live,E
ACRU,2288,UMBS,18,L,OD,7/6/2018,2285 - 2289 share base,B04E,B,B04,45.5562382,-84.7239025,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.197632061,Acer,19,60.75500915,live,E
ACRU,2330,UMBS,16.6,L,OS,7/6/2018,2329 - 2332 share base,B04E,B,B04,45.556286,-84.724217,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.822768663,Acer,19,53.63260459,live,E
ACRU,2345,UMBS,16.2,L,OS,7/6/2018,2345 - 2347 share base,B04E,B,B04,45.5563495,-84.7241754,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.718704175,Acer,19,51.65537933,live,E
ACRU,2332,UMBS,16.1,L,OS,7/6/2018,2329 - 2332 share base,B04E,B,B04,45.5562843,-84.7242106,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.692902819,Acer,19,51.16515355,live,E
ACRU,2289,UMBS,15.5,L,OD,7/6/2018,2285 - 2289 share base,B04E,B,B04,45.5562006,-84.7239069,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.539917714,Acer,19,48.25843657,live,E
ACRU,2247,UMBS,15.2,L,OS,7/6/2018,2246 - 2247 share base,B04E,B,B04,45.5562433,-84.7240837,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.464608587,Acer,19,46.82756315,live,E
FAGR,2342,UMBS,15.2,L,OS,7/6/2018,,B04E,B,B04,45.5562904,-84.7241406,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.968409818,Fagus,35,68.89434362,live,E
ACRU,2287,UMBS,14.3,L,OD,7/6/2018,"2285 - 2289 share base, taken above DBH",B04E,B,B04,45.5562232,-84.7239033,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.243501321,Acer,19,42.62652509,live,E
ACRU,2293,UMBS,13.8,L,OS,7/6/2018,2293 - 2294 share base,B04E,B,B04,45.5562299,-84.7240472,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.123844054,Acer,19,40.35303702,live,E
ACRU,2339,UMBS,13.6,L,OS,7/6/2018,2339 - 2341 share base,B04E,B,B04,45.5563582,-84.72414,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.076628216,Acer,19,39.45593611,live,E
ACRU,2257,UMBS,13,L,OS,7/6/2018,2257 - 2258 share base,B04E,B,B04,45.5562572,-84.7240665,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.937231822,Acer,19,36.80740462,live,E
ACRU,2315,UMBS,12.3,L,OS,7/6/2018,2314 & 2315 share base,B04E,B,B04,45.5561582,-84.7242382,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.778945747,Acer,19,33.79996919,live,E
QURU,2254,UMBS,12.1,L,OS,7/6/2018,In a new plot,B04E,B,B04,45.5563825,-84.724136,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.805901053,Quercus,14.2,25.64379495,live,E
ACRU,2340,UMBS,12,L,OS,7/6/2018,2339 - 2341 share base,B04E,B,B04,45.5563442,-84.7241739,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.712568497,Acer,19,32.53880143,live,E
QURU,2255,UMBS,11.9,L,OS,7/6/2018,,B04E,B,B04,45.5563287,-84.7240186,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.762633688,Quercus,14.2,25.02939837,live,E
ACRU,2280,UMBS,11.6,L,OS,7/6/2018,2280 & 2281 share base,B04E,B,B04,45.5562399,-84.7240328,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.625451948,Acer,19,30.88358701,live,E
ACRU,2258,UMBS,11.4,L,OS,7/6/2018,2257 - 2258 share base,B04E,B,B04,45.5562552,-84.7240667,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.582494841,Acer,19,30.06740198,live,E
ACRU,2295,UMBS,11.1,L,OS,7/6/2018,2295 - 2297 share base,B04E,B,B04,45.5562264,-84.7240963,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.518819692,Acer,19,28.85757414,live,E
ACRU,2248,UMBS,11.1,L,OS,7/6/2018,Shares base with smaller tree,B04E,B,B04,45.5562516,-84.7240757,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.518819692,Acer,19,28.85757414,live,E
ACRU,2322,UMBS,11.1,L,OS,7/6/2018,2322 - 2324 share base,B04E,B,B04,45.5562523,-84.724295,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.518819692,Acer,19,28.85757414,live,E
ACRU,2269,UMBS,11.1,L,UN,7/6/2018,"In a cluster with 2264 - 2269, in a new plot",B04E,B,B04,45.5563443,-84.7240156,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.518819692,Acer,19,28.85757414,live,E
ACRU,2294,UMBS,11,L,OS,7/6/2018,2293 - 2294 share base,B04E,B,B04,45.5562332,-84.7240435,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.497799106,Acer,19,28.45818301,live,E
ACRU,2323,UMBS,10.9,L,OS,7/6/2018,2322 - 2324 share base,B04E,B,B04,45.5562439,-84.7242969,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.47688146,Acer,19,28.06074774,live,E
ACRU,2302,UMBS,10.5,L,OS,7/6/2018,,B04E,B,B04,45.5561406,-84.7240451,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.394249034,Acer,19,26.49073165,live,E
FAGR,2343,UMBS,10.5,L,UN,7/6/2018,,B04E,B,B04,45.5562911,-84.7241239,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.07696313,Fagus,35,37.69370954,live,E
QURU,2326,UMBS,10.5,L,OS,7/6/2018,2326 & 2327 share base,B04E,B,B04,45.5562606,-84.7241691,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.469168701,Quercus,14.2,20.86219555,live,E
ACRU,2316,UMBS,10.2,L,OS,7/6/2018,Shares base with smaller tree,B04E,B,B04,45.5562078,-84.7242561,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.33337742,Acer,19,25.33417098,live,E
ACRU,2277,UMBS,10.2,L,OS,7/6/2018,In a new plot,B04E,B,B04,45.5562772,-84.7239892,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.33337742,Acer,19,25.33417098,live,E
ACRU,2266,UMBS,10.1,L,OS,7/6/2018,"In a cluster with 2264 - 2269, in a new plot",B04E,B,B04,45.5563457,-84.7240044,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.313299405,Acer,19,24.95268869,live,E
ACRU,2299,UMBS,9.9,L,OS,7/6/2018,Shares base with smaller tree,B04E,B,B04,45.5561416,-84.7240497,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.273465053,Acer,19,24.19583601,live,E
QURU,2327,UMBS,9.7,L,OS,7/6/2018,2326 & 2327 share base,B04E,B,B04,45.556265,-84.7241731,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.30916417,Quercus,14.2,18.59013121,live,E
FAGR,2259,UMBS,9.6,L,UN,7/6/2018,,B04E,B,B04,45.556254,-84.7240621,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.930577853,Fagus,35,32.57022484,live,E
ACRU,2284,UMBS,9.3,L,OS,7/6/2018,,B04E,B,B04,45.556227,-84.7238953,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.15657173,Acer,19,21.97486287,live,E
ACRU,2252,UMBS,9.2,L,OS,7/6/2018,2252 - 2253 share base,B04E,B,B04,45.5562961,-84.7240368,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.137475591,Acer,19,21.61203623,live,E
ACRU,2301,UMBS,9.1,L,OS,7/6/2018,in a new plot,B04E,B,B04,45.5561391,-84.7239864,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.118491211,Acer,19,21.25133302,live,E
QURU,2348,UMBS,9.1,L,OS,7/6/2018,,B04E,B,B04,45.55623,-84.7242055,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.193016536,Quercus,14.2,16.94083481,live,E
ACRU,2318,UMBS,9,L,OS,7/6/2018,,B04E,B,B04,45.5562155,-84.7242343,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.099619155,Acer,19,20.89276394,live,E
ACRU,2268,UMBS,8.9,L,OS,7/6/2018,"In a cluster with 2264 - 2269, in a new plot",B04E,B,B04,45.5563448,-84.7240178,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.080859993,Acer,19,20.53633986,live,E
ACRU,2324,UMBS,8.8,L,OS,7/6/2018,2322 - 2324 share base,B04E,B,B04,45.556256,-84.724296,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.062214308,Acer,19,20.18207185,live,E
ACRU,2319,UMBS,8.4,L,OS,7/6/2018,,B04E,B,B04,45.5562283,-84.7242018,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.988778313,Acer,19,18.78678794,live,E
ACRU,2336,UMBS,8.4,L,UN,7/6/2018,Shares base with smaller tree,B04E,B,B04,45.556352,-84.7241948,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.988778313,Acer,19,18.78678794,live,E
ACRU,2300,UMBS,8.4,L,OS,7/6/2018,,B04E,B,B04,45.5561164,-84.7240121,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.988778313,Acer,19,18.78678794,live,E
ACRU,2267,UMBS,8.3,L,OS,7/6/2018,"In a cluster with 2264 - 2269, in a new plot",B04E,B,B04,45.5563457,-84.7240077,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.970709085,Acer,19,18.44347261,live,E
QURU,2282,UMBS,8.3,L,UN,7/6/2018,,B04E,B,B04,45.5562221,-84.7238897,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.043517801,Quercus,14.2,14.81795277,live,E
QURU,2303,UMBS,8.2,L,OS,7/6/2018,Taken above DBH,B04E,B,B04,45.5561887,-84.7241086,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.025275059,Quercus,14.2,14.55890583,live,E
ACRU,2271,UMBS,8.1,L,OS,7/6/2018,,B04E,B,B04,45.5562919,-84.7239772,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.934922821,Acer,19,17.7635336,live,E
ACRU,2290,UMBS,8,M,UN,7/6/2018,,B04E,B,B04,45.5561238,-84.7239807,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.917207108,Acer,19,17.42693506,live,E
TSCA,786,UMBS,8.1,L,UN,6/26/2018,,C01E,C,C01,45.5624962,-84.7076184,FL,0.0454,1.6829,0.28,New Brunswick,ker 1980a,1.534423676,Tsuga,5.84,8.961034271,live,E
PIST,715,UMBS,8.4,L,UN,6/26/2018,,C01E,C,C01,45.5626443,-84.7074412,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.186414663,Pinus,12.5,2.330183286,live,E
PIST,758,UMBS,8.4,L,OS,6/26/2018,,C01E,C,C01,45.5624286,-84.7073823,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.186414663,Pinus,12.5,2.330183286,live,E
FAGR,805,UMBS,8.7,L,UN,6/26/2018,"805-806 share base, NW veg plot",C01E,C,C01,45.5625755,-84.7075712,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.792600165,Fagus,35,27.74100579,live,E
ACRU,794,UMBS,8.9,L,OS,6/26/2018,,C01E,C,C01,45.5624661,-84.7076876,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.080859993,Acer,19,20.53633986,live,E
QURU,787,UMBS,9.2,L,OS,6/26/2018,,C01E,C,C01,45.5625038,-84.7076332,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.212139283,Quercus,14.2,17.21237782,live,E
QURU,763,UMBS,9.2,L,UN,6/26/2018,,C01E,C,C01,45.5624728,-84.7074761,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.212139283,Quercus,14.2,17.21237782,live,E
FAGR,775,UMBS,9.3,L,UN,6/26/2018,,C01E,C,C01,45.5624282,-84.7075333,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.883636551,Fagus,35,30.9272793,live,E
ACRU,768,UMBS,9.5,L,OS,6/26/2018,767-769 share base,C01E,C,C01,45.5623751,-84.707502,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.195097076,Acer,19,22.70684445,live,E
ACRU,804,UMBS,9.6,L,OS,6/26/2018,,C01E,C,C01,45.5625839,-84.707619,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.214525201,Acer,19,23.07597882,live,E
ACRU,774,UMBS,10,L,OS,6/26/2018,,C01E,C,C01,45.5624649,-84.7075006,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.293328452,Acer,19,24.57324059,live,E
ACRU,782,UMBS,10.2,L,OS,6/26/2018,,C01E,C,C01,45.562439,-84.7075404,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.33337742,Acer,19,25.33417098,live,E
PIST,742,UMBS,10.4,L,UN,6/26/2018,,C01E,C,C01,45.5625695,-84.7072919,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.27479839,Pinus,12.5,3.43497988,live,E
PIST,783,UMBS,10.5,L,UN,6/26/2018,,C01E,C,C01,45.5624637,-84.7075293,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.279618282,Pinus,12.5,3.495228528,live,E
ACRU,811,UMBS,10.6,L,OS,6/26/2018,,C01E,C,C01,45.5626393,-84.7075945,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.414750527,Acer,19,26.88026001,live,E
PIRE,726,UMBS,10.8,L,UN,6/26/2018,,C01E,C,C01,45.5625964,-84.7073774,FL,7.00E-04,3.122,0.553,,,1.178818668,Pinus,5.39,6.353832618,live,E
QURU,762,UMBS,11.2,L,OS,6/26/2018,,C01E,C,C01,45.5623763,-84.707453,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.613813932,Quercus,14.2,22.91615783,live,E
ACRU,747,UMBS,11.3,L,UN,6/26/2018,747-748 share base,C01E,C,C01,45.5624941,-84.7074663,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.561167978,Acer,19,29.66219159,live,E
FAGR,773,UMBS,11.3,L,OS,6/26/2018,,C01E,C,C01,45.5624077,-84.7075073,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.213918996,Fagus,35,42.48716485,live,E
ACRU,771,UMBS,11.7,L,OS,6/26/2018,,C01E,C,C01,45.5623877,-84.7075317,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.647081385,Acer,19,31.29454631,live,E
PIST,818,UMBS,11.7,L,UN,6/26/2018,,C01E,C,C01,45.5626818,-84.7075218,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.34037552,Pinus,12.5,4.254694,live,E
ACRU,815,UMBS,12,L,OS,6/26/2018,,C01E,C,C01,45.5626351,-84.7075174,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.712568497,Acer,19,32.53880143,live,E
BEPA,766,UMBS,12,L,OS,6/26/2018,765-766 share base,C01E,C,C01,45.562452,-84.7074826,FL,0.0132,1.9505,NA,Upper Great Lakes,"Perala and Alban, 1994",1.68080353,Betula,20.82,34.9943295,live,E
QURU,734,UMBS,12.1,L,UN,6/26/2018,reading taken above DBH,C01E,C,C01,45.5625822,-84.707308,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.805901053,Quercus,14.2,25.64379495,live,E
QURU,750,UMBS,12.2,L,OD,6/26/2018,749-750 share base,C01E,C,C01,45.5624745,-84.7074415,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",1.827657408,Quercus,14.2,25.95273519,live,E
FAGR,792,UMBS,12.3,L,OS,6/26/2018,,C01E,C,C01,45.5624967,-84.7076694,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.393889107,Fagus,35,48.78611875,live,E
ACRU,795,UMBS,12.4,L,OS,6/26/2018,,C01E,C,C01,45.5625092,-84.7076788,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.801267557,Acer,19,34.22408359,live,E
FAGR,767,UMBS,12.4,L,OS,6/26/2018,767-769 share base,C01E,C,C01,45.5623711,-84.7075075,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.412411661,Fagus,35,49.43440812,live,E
QURU,739,UMBS,13.1,L,OS,6/26/2018,,C01E,C,C01,45.5625616,-84.7073871,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",2.027080391,Quercus,14.2,28.78454156,live,E
PIST,755,UMBS,13.2,L,OS,6/26/2018,,C01E,C,C01,45.562453,-84.7074245,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.423786814,Pinus,12.5,5.29733518,live,E
ACRU,809,UMBS,13.4,L,OS,6/26/2018,,C01E,C,C01,45.5625812,-84.7075512,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.029785853,Acer,19,38.56593121,live,E
ACRU,748,UMBS,14.1,L,OS,6/26/2018,747-748 share base,C01E,C,C01,45.5624876,-84.7074641,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.19536262,Acer,19,41.71188978,live,E
ACRU,798,UMBS,14.2,L,OS,6/26/2018,797-798 share base,C01E,C,C01,45.5625617,-84.7076815,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.219386204,Acer,19,42.16833788,live,E
BEPA,816,UMBS,15,L,OS,6/26/2018,816-817 share base,C01E,C,C01,45.5626732,-84.7074239,FL,0.0132,1.9505,NA,Upper Great Lakes,"Perala and Alban, 1994",2.597406554,Betula,20.82,54.07800445,live,E
PIRE,799,UMBS,15,L,OS,6/26/2018,,C01E,C,C01,45.5625514,-84.7076317,FL,7.00E-04,3.122,0.553,,,3.287418167,Pinus,5.39,17.71918392,live,E
ACRU,743,UMBS,15.1,L,OS,6/26/2018,,C01E,C,C01,45.5625586,-84.7072752,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.43968261,Acer,19,46.3539696,live,E
QURU,796,UMBS,15.1,L,OS,6/26/2018,in new plot,C01E,C,C01,45.5625267,-84.7077158,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",2.492600603,Quercus,14.2,35.39492856,live,E
PIST,761,UMBS,15.2,L,OS,6/26/2018,reading taken above DBH,C01E,C,C01,45.562401,-84.7074219,FL,0.0039,1.817,0.262,Upper Great Lakes,"Perala and Alban, 1994",0.547613828,Pinus,12.5,6.845172853,live,E
QURU,810,UMBS,15.2,L,OS,6/26/2018,,C01E,C,C01,45.5626102,-84.7076051,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",2.516654851,Quercus,14.2,35.73649888,live,E
FAGR,769,UMBS,15.4,L,OS,6/26/2018,767-769 share base,C01E,C,C01,45.562367,-84.7075114,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.01080961,Fagus,35,70.37833636,live,E
PIRE,772,UMBS,15.4,L,OS,6/26/2018,,C01E,C,C01,45.5623723,-84.7075572,FL,7.00E-04,3.122,0.553,,,3.568927539,Pinus,5.39,19.23651944,live,E
BEPA,817,UMBS,16.6,L,OS,6/26/2018,816-817 share base,C01E,C,C01,45.5626696,-84.7075143,FL,0.0132,1.9505,NA,Upper Great Lakes,"Perala and Alban, 1994",3.165153355,Betula,20.82,65.89849286,live,E
QURU,760,UMBS,16.6,L,OD,6/26/2018,,C01E,C,C01,45.562409,-84.707366,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",2.860872516,Quercus,14.2,40.62438972,live,E
QURU,745,UMBS,16.6,L,OS,6/26/2018,,C01E,C,C01,45.5625398,-84.70732,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",2.860872516,Quercus,14.2,40.62438972,live,E
QURU,780,UMBS,17.1,L,OS,6/26/2018,,C01E,C,C01,45.5624239,-84.7075684,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",2.987105614,Quercus,14.2,42.41689971,live,E
BEPA,765,UMBS,17.9,L,OS,6/26/2018,765-766 share base,C01E,C,C01,45.5624519,-84.7074782,FL,0.0132,1.9505,NA,Upper Great Lakes,"Perala and Alban, 1994",3.666601976,Betula,20.82,76.33865314,live,E
QURU,749,UMBS,18.5,L,OD,6/26/2018,749-750 share base,C01E,C,C01,45.5624811,-84.7074383,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",3.349470076,Quercus,14.2,47.56247508,live,E
QURU,751,UMBS,19.9,L,OD,6/26/2018,,C01E,C,C01,45.5624971,-84.7073594,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",3.724538463,Quercus,14.2,52.88844617,live,E
POGR,728,UMBS,20.3,L,OD,6/26/2018,,C01E,C,C01,45.5625948,-84.7073785,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",2.546345031,Populus,15.89,40.46142254,live,E
POGR,727,UMBS,20.5,L,OD,6/26/2018,,C01E,C,C01,45.5625885,-84.7074137,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",2.60377707,Populus,15.89,41.37401764,live,E
QURU,738,UMBS,20.5,L,OS,6/26/2018,NE veg plot,C01E,C,C01,45.5625665,-84.7073909,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",3.889046225,Quercus,14.2,55.2244564,live,E
QURU,789,UMBS,20.6,L,OS,6/26/2018,,C01E,C,C01,45.5625315,-84.7075246,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",3.916679573,Quercus,14.2,55.61684994,live,E
POGR,733,UMBS,21.1,L,OD,6/26/2018,,C01E,C,C01,45.5626049,-84.7073229,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",2.780394047,Populus,15.89,44.1804614,live,E
QURU,814,UMBS,21.1,L,OS,6/26/2018,813-814 share base,C01E,C,C01,45.5626023,-84.7074824,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.055759647,Quercus,14.2,57.59178698,live,E
POGR,716,UMBS,21.7,L,OD,6/26/2018,,C01E,C,C01,45.5626524,-84.707472,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",2.963532256,Populus,15.89,47.09052756,live,E
POGR,730,UMBS,22,L,OD,6/26/2018,,C01E,C,C01,45.5626353,-84.7073569,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",3.057562639,Populus,15.89,48.58467034,live,E
QURU,753,UMBS,22,L,OD,6/26/2018,,C01E,C,C01,45.5624876,-84.7072968,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.309890516,Quercus,14.2,61.20044533,live,E
QURU,718,UMBS,22.1,L,OS,6/26/2018,in new plot,C01E,C,C01,45.5626791,-84.7074564,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.338424017,Quercus,14.2,61.60562103,live,E
QURU,746,UMBS,22.7,L,OS,6/26/2018,,C01E,C,C01,45.562528,-84.7074549,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.510854922,Quercus,14.2,64.0541399,live,E
QURU,744,UMBS,22.9,L,OS,6/26/2018,,C01E,C,C01,45.5625475,-84.7072724,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.568797023,Quercus,14.2,64.87691773,live,E
QURU,813,UMBS,23.3,L,OS,6/26/2018,813-814 share base,C01E,C,C01,45.5626003,-84.7074954,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.685372266,Quercus,14.2,66.53228617,live,E
QURU,801,UMBS,23.5,L,OS,6/26/2018,,C01E,C,C01,45.5625347,-84.7075033,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.74400324,Quercus,14.2,67.36484601,live,E
QURU,788,UMBS,24,L,OD,6/26/2018,,C01E,C,C01,45.5624161,-84.707608,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.891573618,Quercus,14.2,69.46034538,live,E
POGR,764,UMBS,24.2,L,OD,6/26/2018,,C01E,C,C01,45.5624571,-84.707481,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",3.797901717,Populus,15.89,60.34865828,live,E
QURU,803,UMBS,24.3,L,OD,6/26/2018,802-803 share base,C01E,C,C01,45.5625737,-84.7076029,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",4.980791538,Quercus,14.2,70.72723983,live,E
POGR,740,UMBS,24.5,L,OD,6/26/2018,,C01E,C,C01,45.562571,-84.7072974,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",3.905859402,Populus,15.89,62.0641059,live,E
QURU,752,UMBS,24.9,L,OD,6/26/2018,,C01E,C,C01,45.5624757,-84.7073548,FL,0.048,1.455,0.426,Upper Great Lakes,"Perala and Alban, 1994",5.160731773,Quercus,14.2,73.28239118,live,E
